Method,Direction,TOF_days,dV1_km_s,dV2_km_s,dVtotal_km_s,FinalPositionError_km,nRev,aPhase_km,rpPhase_km,V1x,V1y,V1z,V2minus_x,V2minus_y,V2minus_z
Lambert,Prograde,1.0000000000,2.0978306675,0.9983726035,3.0962032709,0.0000000000e+00,NaN,NaN,NaN,-1.0081203308,-3.1738142213,-0.0000000000,-1.9258103971,2.6385011882,0.0000000000
Lambert,Prograde,1.0250000000,2.0896359961,0.9276888367,3.0173248327,0.0000000000e+00,NaN,NaN,NaN,-0.9298384055,-3.2076950671,-0.0000000000,-2.2663942807,2.3660927626,0.0000000000
Lambert,Prograde,1.0500000000,2.0824628886,0.8612680301,2.9437309187,0.0000000000e+00,NaN,NaN,NaN,-0.8544092035,-3.2373565370,-0.0000000000,-2.5705641080,2.0454152377,0.0000000000
Lambert,Prograde,1.0750000000,2.0761858619,0.7989219665,2.8751078285,0.0000000000e+00,NaN,NaN,NaN,-0.7817063060,-3.2632625896,-0.0000000000,-2.8308199810,1.6814983217,0.0000000000
Lambert,Prograde,1.1000000000,2.0706964485,0.7404819546,2.8111784030,0.0000000000e+00,NaN,NaN,NaN,-0.7115631633,-3.2858310751,-0.0000000000,-3.0404213682,1.2805767398,0.0000000000
Lambert,Prograde,1.1250000000,2.0659019089,0.6858046925,2.7517066014,0.0000000000e+00,NaN,NaN,NaN,-0.6437749814,-3.3054366256,-0.0000000000,-3.1935800021,0.8499618673,0.0000000000
Lambert,Prograde,1.1500000000,2.0617240001,0.6347791989,2.6965031991,0.0000000000e+00,NaN,NaN,NaN,-0.5780971794,-3.3224136402,-0.0000000000,-3.2856278626,0.3978808708,0.0000000000
Lambert,Prograde,1.1750000000,2.0580979060,0.5873355440,2.6454334499,0.0000000000e+00,NaN,NaN,NaN,-0.5142391436,-3.3370591768,-0.0000000000,-3.3131535126,-0.0667123747,-0.0000000000
Lambert,Prograde,1.2000000000,2.0549714470,0.5434564907,2.5984279377,0.0000000000e+00,NaN,NaN,NaN,-0.4518508347,-3.3496355336,-0.0000000000,-3.2740997203,-0.5343494170,-0.0000000000
Lambert,Prograde,1.2250000000,2.0523047628,0.5031939842,2.5554987470,0.0000000000e+00,NaN,NaN,NaN,-0.3904975350,-3.3603722185,-0.0000000000,-3.1678139907,-0.9952764366,-0.0000000000
Lambert,Prograde,1.2500000000,2.0500708488,0.4666942979,2.5167651467,0.0000000000e+00,NaN,NaN,NaN,-0.3296131634,-3.3694667505,-0.0000000000,-2.9950398526,-1.4396937851,-0.0000000000
Lambert,Prograde,1.2750000000,2.0482578134,0.4342404972,2.4824983107,0.0000000000e+00,NaN,NaN,NaN,-0.2684114689,-3.3770830689,-0.0000000000,-2.7578268229,-1.8579980837,-0.0000000000
Lambert,Prograde,1.3000000000,2.0468751104,0.4063349854,2.4532100958,0.0000000000e+00,NaN,NaN,NaN,-0.2057065565,-3.3833444099,-0.0000000000,-2.4593104916,-2.2410170420,-0.0000000000
Lambert,Prograde,1.3250000000,2.0459703967,0.3838910095,2.4298614062,0.0000000000e+00,NaN,NaN,NaN,-0.1395159097,-3.3883113713,-0.0000000000,-2.1032377211,-2.5802210408,-0.0000000000
Lambert,Prograde,1.3500000000,2.0456803681,0.3687760929,2.4144564611,0.0000000000e+00,NaN,NaN,NaN,-0.0660633887,-3.3919126060,-0.0000000000,-1.6928597078,-2.8678724520,-0.0000000000
Lambert,Prograde,1.3750000000,2.0464194553,0.3657532784,2.4121727337,0.0000000000e+00,NaN,NaN,NaN,0.0232298870,-3.3936828995,-0.0000000000,-1.2277966098,-3.0969613540,-0.0000000000
